company_name,company_website,quarter,Headcount_Count,Headcount_Growth,Headcount_Breakdown_of_employees,Fundraising_Total_amount,Fundraising_Date_of_last_round,Financials_GMV,Financials_Net_Sales,Financials_CAC
Plaid,https://plaid.com,Q3 2020,261,0,"{'tech': 8, 'sales': 26, 'admin': 19}",18.7,,5704660.01,4633079.98,413.95
Plaid,https://plaid.com,Q4 2020,44,0.32,"{'tech': 11, 'sales': 19, 'admin': 8}",,09/05/2020,2372810.08,1814472.14,367.07
Plaid,https://plaid.com,Q1 2021,240,-0.1,"{'tech': 71, 'sales': 62, 'admin': 33}",,,2710579.76,4567858.62,492.12
Plaid,https://plaid.com,Q2 2021,123,0.26,"{'tech': 7, 'sales': 20, 'admin': 15}",,,1166678.4,2672830.75,427.99
Plaid,https://plaid.com,Q3 2021,362,-0.09,"{'tech': 16, 'sales': 97, 'admin': 37}",84.72,,1200470.82,4152885.33,304.34
Plaid,https://plaid.com,Q4 2021,200,0.2,"{'tech': 73, 'sales': 73, 'admin': 32}",,,4484757.24,2374816.13,449.39
Plaid,https://plaid.com,Q1 2022,189,-0.03,"{'tech': 56, 'sales': 51, 'admin': 16}",15.67,20/01/2021,7240572.13,1935316.74,307.49
Plaid,https://plaid.com,Q2 2022,240,0.13,"{'tech': 13, 'sales': 26, 'admin': 16}",,,7574127.15,3130322.11,496.88
Plaid,https://plaid.com,Q3 2022,126,0.25,"{'tech': 35, 'sales': 15, 'admin': 22}",80.75,,6712505.23,556331.58,88.37
Plaid,https://plaid.com,Q4 2022,101,0.33,"{'tech': 18, 'sales': 49, 'admin': 2}",46.82,,4330944.07,1663499.01,478.96
Plaid,https://plaid.com,Q1 2023,461,0.32,"{'tech': 185, 'sales': 39, 'admin': 86}",80.12,30/08/2022,8887617.1,2968640.87,376.42
Plaid,https://plaid.com,Q2 2023,61,0.14,"{'tech': 27, 'sales': 12, 'admin': 6}",83.38,11/02/2019,731507.12,2574558.6,409.24
Plaid,https://plaid.com,Q3 2023,483,0.25,"{'tech': 34, 'sales': 46, 'admin': 60}",,,6034167.88,290921.94,171.88
Plaid,https://plaid.com,Q4 2023,258,0.18,"{'tech': 32, 'sales': 6, 'admin': 17}",,,287922.57,4570607.94,497.78
Plaid,https://plaid.com,Q1 2024,125,0.14,"{'tech': 7, 'sales': 53, 'admin': 7}",39.94,,7568851.12,4536139.78,140.99
Plaid,https://plaid.com,Q2 2024,111,0.23,"{'tech': 14, 'sales': 54, 'admin': 10}",,21/02/2019,137415.5,4796970.85,86.95
Plaid,https://plaid.com,Q3 2024,148,0.11,"{'tech': 41, 'sales': 34, 'admin': 2}",,,4029937.6,1213602,82.63
Plaid,https://plaid.com,Q4 2024,23,0.26,"{'tech': 6, 'sales': 6, 'admin': 3}",,,6214655.26,3602455.04,156.4
